date,LNG_SUPPLY,IT_GAS_ELEC,IT_IP,FR_IP,FR_NUC,EZ_HICP
2010-01-01,1477702.0,,105.6,98.1,40313.0,0.9
2010-02-01,1340402.0,,104.5,97.6,36318.0,0.8
2010-03-01,1383555.0,,105.0,99.6,35984.0,1.6
2010-04-01,1201310.0,,106.0,99.2,31294.0,1.6
2010-05-01,1226038.0,,106.4,100.1,29372.0,1.7
2010-06-01,1070860.0,,109.0,99.7,29575.0,1.5
2010-07-01,1059949.0,,108.8,100.3,31744.0,1.7
2010-08-01,946255.0,,112.7,99.4,32391.0,1.6
2010-09-01,998108.0,,107.9,100.7,31657.0,1.9
2010-10-01,1184801.0,,108.4,100.6,31885.0,1.9
2010-11-01,1303109.0,,108.9,101.7,35455.0,1.9
2010-12-01,1505592.0,,109.7,103.1,41889.0,2.2
2011-01-01,1561074.0,101003.0,107.6,104.2,43853.0,2.3
2011-02-01,1397929.0,92012.0,110.4,104.7,38328.0,2.4
2011-03-01,1442181.0,98222.0,110.8,103.4,37688.0,2.7
2011-04-01,1257784.0,79553.0,111.8,101.6,32850.0,2.8
2011-05-01,1245741.0,84087.0,109.7,105.1,33070.0,2.7
2011-06-01,1076947.0,79058.0,108.8,102.0,32589.0,2.7
2011-07-01,987738.0,91135.0,108.6,103.2,33487.0,2.6
2011-08-01,908569.0,82410.0,107.7,102.1,31388.0,2.5
2011-09-01,913593.0,100394.0,107.3,101.5,31482.0,3.0
2011-10-01,1060009.0,82715.0,105.9,101.9,32824.0,3.0
2011-11-01,1209371.0,83401.0,106.7,104.0,33705.0,3.0
2011-12-01,1245623.0,82677.0,107.8,102.0,39819.0,2.8
2012-01-01,1333572.0,88964.0,103.4,101.1,42811.0,2.7
2012-02-01,1512153.0,98870.0,103.9,101.6,38661.0,2.7
2012-03-01,1323831.0,75933.0,104.2,101.0,37549.0,2.7
2012-04-01,1310025.0,67475.0,102.8,101.8,33100.0,2.6
2012-05-01,1161559.0,65494.0,104.3,99.8,29058.0,2.4
2012-06-01,1058218.0,73685.0,102.2,99.6,26562.0,2.4
2012-07-01,1094567.0,94755.0,103.4,100.5,28818.0,2.4
2012-08-01,1052988.0,85916.0,102.5,101.7,28314.0,2.6
2012-09-01,1049756.0,80391.0,102.5,100.2,30130.0,2.6
2012-10-01,1177765.0,73571.0,100.4,98.6,32848.0,2.5
2012-11-01,1190381.0,63665.0,99.0,98.7,37119.0,2.2
2012-12-01,,73152.0,99.9,99.9,39912.0,2.2
2013-01-01,1779709.0,79515.0,99.8,98.7,42406.0,2.0
2013-02-01,1604462.0,71895.0,99.2,99.6,36749.0,1.9
2013-03-01,1983308.0,72123.0,98.7,99.8,36782.0,1.7
2013-04-01,1713788.0,72123.0,98.0,101.5,31479.0,1.2
2013-05-01,1693579.0,44844.0,99.9,101.0,31169.0,1.4
2013-06-01,1657951.0,49111.0,99.8,99.8,28618.0,1.6
2013-07-01,1790312.0,71780.0,99.6,99.1,30693.0,1.6
2013-08-01,1652218.0,59550.0,97.7,98.0,29903.0,1.3
2013-09-01,1721200.0,73000.0,99.7,99.0,29755.0,1.1
2013-10-01,1649308.0,69152.0,100.0,98.9,31092.0,0.7
2013-11-01,1780871.0,64503.0,99.7,100.5,34631.0,0.9
2013-12-01,2040118.0,76429.0,98.7,99.5,40426.0,0.8
